TaxonName,Family,AccNoFull,ItemNo,ItemLocationCode,ItemStatus,ItemStatusDate,Lifeform,Longevity,Group
Schizachyrium scoparium,Poaceae,10006173,D,NW26-10,Divided,11/8/2019,Herbaceous,Perennial,Grass
Smilax rotundifolia,Smilacaceae,19940547,A,NW26-11,Inspected,6/13/2019,Woody Vine,Perennial,Dicot
Solidago canadensis,Asteraceae,19570184,A,SW9-20,Inspected,9/17/2013,Herbaceous,Perennial,Dicot
Solidago canadensis,Asteraceae,19583614,A,SE5-2,Inspected,9/28/2016,Herbaceous,Perennial,Dicot
Solidago canadensis,Asteraceae,19583614,B,SE7-6,Inspected,12/13/2018,Herbaceous,Perennial,Dicot
Solidago canadensis,Asteraceae,19583614,C,NW2-3,Planted,12/17/2008,Herbaceous,Perennial,Dicot
Solidago canadensis,Asteraceae,19583614,D,SE7-8,Inspected,5/17/2017,Herbaceous,Perennial,Dicot
Solidago canadensis,Asteraceae,19583614,E,SE7-7,Inspected,7/11/2018,Herbaceous,Perennial,Dicot
Solidago mollis,Asteraceae,19571844,A,SW9-20,Inspected,3/2/2017,Herbaceous,Perennial,Dicot
Solidago virgaurea,Asteraceae,20180192,B,NW26-11,Inspected,6/17/2019,Herbaceous,Perennial,Dicot
Sorbus aucuparia,Rosaceae,197021168,A,NE20,Seen,4/3/2020,Tree,Perennial,Dicot
Sorbus aucuparia,Rosaceae,19752211,A,SW19,Seen,8/17/2021,Tree,Perennial,Dicot
Sorbus aucuparia,Rosaceae,20180439,A,NE6-3,Moved,4/17/2018,Tree,Perennial,Dicot
Sorghastrum nutans,Poaceae,19571981,A,SW8-34,Inspected,9/18/2019,Herbaceous,Perennial,Dicot
Symphyotrichum ericoides,Asteraceae,10006867,C,NW28-1,Moved,10/4/2021,Herbaceous,Perennial,Dicot
Symphyotrichum ericoides,Asteraceae,10006867,D,NW11-8,Inspected,4/27/2018,Herbaceous,Perennial,Dicot
Symphyotrichum ericoides,Asteraceae,19980387,B,NW28,Inspected,11/9/2015,Herbaceous,Perennial,Dicot
Symphyotrichum ericoides,Asteraceae,10006867,E,NW11-6,Inspected,6/18/2018,Herbaceous,Perennial,Dicot
Symphyotrichum oblongifolium,Asteraceae,20070120,B,SW9,Planted,8/7/2019,Herbaceous,Perennial,Dicot
Symphyotrichum oblongifolium,Asteraceae,20130489,A,NE10-3,Inspected,10/14/2017,Herbaceous,Perennial,Dicot
Symphyotrichum oblongifolium,Asteraceae,20070120,C,SE7-6,Inspected,8/21/2020,Herbaceous,Perennial,Dicot
Symphyotrichum pilosum,Asteraceae,19820372,A,SW2,Inspected,10/30/2019,Herbaceous,Perennial,Dicot
Symphyotrichum pilosum,Asteraceae,19820372,B,SE7-6,Planted,4/2/2019,Herbaceous,Perennial,Dicot
Symphyotrichum pilosum,Asteraceae,20191074,B,NW6-3,Planted,10/22/2019,Herbaceous,Perennial,Dicot
Teucrium canadense,Lamiaceae,19940509,A,SW7-11,Planted,11/29/2019,Herbaceous,Perennial,Dicot
Tilia americana,Malvaceae,196731818,A,SW1,Seen,4/16/2020,Tree,Perennial,Dicot
Uvularia grandiflora,Colchicaceae,196032314,A,NW28-1,Inspected,6/3/2016,Herbaceous,Perennial,Dicot
Uvularia grandiflora,Colchicaceae,196032314,B,NW6-3,Inspected,11/22/2018,Herbaceous,Perennial,Dicot
Verbascum thapsus,Scrophulariaceae,19632221,A,SYB,Inspected,9/16/2013,Herbaceous,Biennial,Dicot
Verbascum thapsus,Scrophulariaceae,20186533,A,NW28-12,Repotted,7/1/2019,Herbaceous,Biennial,Dicot
Viola sororia,Violaceae,20110249,A,NW6-5,Inspected,4/6/2011,Herbaceous,Perennial,Dicot
Woodsia obtusa,Woodsiaceae,20100496,A,NW28-1,Inspected,2/14/2020,Herbaceous,Perennial,Pteridophyte
Woodsia obtusa,Woodsiaceae,20120375,B,NW28-4,Inspected,6/18/2014,Herbaceous,Perennial,Pteridophyte
Woodsia obtusa,Woodsiaceae,20170114,A,NW26-4,Planted,10/24/2018,Herbaceous,Perennial,Pteridophyte
Woodsia obtusa,Woodsiaceae,20100496,B,NW6-2,Planted,9/11/2020,Herbaceous,Perennial,Pteridophyte
